primary_disease,interaction,percent_overlap_GDSC,percent_overlap_CTRP
Meningioma,MAPKAPK3-BECN1,33.33,33.33
Glioblastoma,EED-TLE1,25.0,23.21
Glioblastoma,ACAT2-SPR,19.64,21.43
Glioblastoma,IL1B-FYN,17.86,23.21
Glioblastoma,IL1B-EGR1,14.29,19.64
Glioblastoma,EED-HDAC2,10.71,12.5
Acute Myelogenous Leukemia (AML),RHOA-S100A4,29.17,25.0
Acute Myelogenous Leukemia (AML),HSPA8-CD40,29.17,16.67
Acute Myelogenous Leukemia (AML),JUN-NOLC1,20.83,20.83
Acute Myelogenous Leukemia (AML),SYNE2-S100A4,20.83,20.83
Acute Myelogenous Leukemia (AML),CXCR4-GNAI1,20.83,20.83
Acute Myelogenous Leukemia (AML),SHC1-IL4R,16.67,16.67
Acute Myelogenous Leukemia (AML),CHEK2-RAD9A,16.67,16.67
Acute Myelogenous Leukemia (AML),UGDH-HSPB1,16.67,20.83
Thyroid Sarcoma,ACAT2-SPR,100.0,100.0
Thyroid Sarcoma,EED-TLE1,100.0,100.0
Thyroid Sarcoma,RPA2-TP53,100.0,100.0
Thyroid Sarcoma,IL1B-MYC,100.0,100.0
B-cell,CHEK2-RAD9A,50.0,33.33
B-cell,UGDH-HSPB1,50.0,50.0
B-cell,SHC1-IL4R,33.33,33.33
B-cell,CHEK2-CHEK1,16.67,33.33
B-cell,CHEK2-GNAS,16.67,33.33
B-cell,RHOA-S100A4,16.67,16.67
Ewings Sarcoma,GOLT1B-HTRA1,24.44,35.56
Ewings Sarcoma,GAPDH-ITGB5,17.78,6.67
Ewings Sarcoma,ACOT9-EGFR,15.56,13.33
Ewings Sarcoma,HSPA1A-AURKB,11.11,6.67
Ewings Sarcoma,FOS-EPHB2,8.89,8.89
Astrocytoma,EED-TLE1,43.75,31.25
Astrocytoma,ACAT2-SPR,12.5,12.5
Skin,EED-TLE1,100.0,100.0
Skin,IL1B-EGR1,100.0,85.71
Skin,IL1B-FYN,71.43,85.71
Skin,EED-HDAC2,71.43,85.71
Skin,ACAT2-SPR,42.86,42.86
Breast Ductal Carcinoma,IFNAR1-CDK6,14.29,20.0
"Multiple Myeloma, plasmacytoma",SHC1-IL4R,50.0,50.0
"Multiple Myeloma, plasmacytoma",UGDH-HSPB1,50.0,50.0
"Multiple Myeloma, plasmacytoma",STMN1-HSPB1,25.0,25.0
Rhabdomyosarcoma,FOS-EPHB2,33.33,33.33
Rhabdomyosarcoma,GLI2-SOX2,16.67,16.67
Rhabdomyosarcoma,MAP3K4-MAPK13,16.67,33.33
"T-cell, Non-Hodgkins, Anaplastic Large Cell (ALCL)",UGDH-HSPB1,60.0,40.0
"T-cell, Non-Hodgkins, Anaplastic Large Cell (ALCL)",CDK4-CDKN1A,60.0,40.0
"T-cell, Non-Hodgkins, Anaplastic Large Cell (ALCL)",CHEK2-CHEK1,40.0,40.0
"T-cell, Non-Hodgkins, Anaplastic Large Cell (ALCL)",CHEK2-RAD9A,40.0,60.0
"T-cell, Non-Hodgkins, Anaplastic Large Cell (ALCL)",PTK2B-SYK,40.0,60.0
Fibrosarcoma,TBP-SPP1,33.33,33.33
Fibrosarcoma,RPS6-NVL,33.33,33.33
Fibrosarcoma,MAPKAPK3-BECN1,33.33,33.33
Medulloblastoma,EED-TLE1,18.18,18.18
Diffuse Large B-cell Lymphoma (DLBCL),UGDH-HSPB1,68.18,68.18
Diffuse Large B-cell Lymphoma (DLBCL),CDK4-CDKN1A,50.0,31.82
Diffuse Large B-cell Lymphoma (DLBCL),PTK2B-SYK,40.91,54.55
Diffuse Large B-cell Lymphoma (DLBCL),CHEK2-CHEK1,27.27,45.45
Diffuse Large B-cell Lymphoma (DLBCL),JUN-NOLC1,27.27,22.73
Diffuse Large B-cell Lymphoma (DLBCL),TRAP1-UFM1,22.73,31.82
"T-cell, Non-Hodgkins, Cutaneous",UGDH-HSPB1,100.0,66.67
"T-cell, Non-Hodgkins, Cutaneous",JUN-NOLC1,66.67,66.67
"T-cell, Non-Hodgkins, Cutaneous",SHC1-IL4R,66.67,100.0
"T-cell, Non-Hodgkins, Cutaneous",PTK2B-SYK,33.33,33.33
Lymphoma,EED-TLE1,75.0,75.0
Lymphoma,IL1B-EGR1,75.0,75.0
Lymphoma,IL1B-FYN,75.0,75.0
Lymphoma,EED-HDAC2,75.0,75.0
Lymphoma,IL1B-MYC,75.0,25.0
Lymphoma,GLRX-CASP3,25.0,25.0
Oligodendroglioma,EED-TLE1,33.33,33.33
Oligodendroglioma,GLRX-CASP3,33.33,33.33
Oligodendroglioma,ACAT2-SPR,33.33,33.33
Oligodendroglioma,IL1B-FYN,33.33,33.33
Oligodendroglioma,IL1B-EGR1,33.33,33.33
"B-cell, Non-Hodgkins, Mantle Cell",UGDH-HSPB1,80.0,80.0
"B-cell, Non-Hodgkins, Mantle Cell",GOLT1B-HTRA1,60.0,60.0
"B-cell, Non-Hodgkins, Mantle Cell",RHOA-S100A4,60.0,60.0
"B-cell, Non-Hodgkins, Mantle Cell",SHC1-IL4R,60.0,60.0
"B-cell, Non-Hodgkins, Mantle Cell",CHEK2-GNAS,60.0,60.0
"B-cell, Non-Hodgkins, Mantle Cell",CSNK1E-HSPA8,40.0,40.0
"B-cell, Hodgkins",UGDH-HSPB1,62.5,75.0
"B-cell, Hodgkins",CHEK2-RAD9A,50.0,50.0
"B-cell, Hodgkins",CHEK2-CHEK1,37.5,62.5
"B-cell, Hodgkins",CDK4-CDKN1A,37.5,25.0
"B-cell, Hodgkins",CHEK2-GNAS,25.0,37.5
Bone,EED-TLE1,100.0,100.0
Bone,IL1B-FYN,88.89,100.0
Bone,IL1B-EGR1,77.78,88.89
Bone,EED-HDAC2,77.78,88.89
Bone,IL1B-MYC,44.44,55.56
Bone,ACAT2-SPR,33.33,33.33
"Chronic Myelogenous Leukemia (CML), blast crisis",SYNE2-S100A4,33.33,25.0
"Chronic Myelogenous Leukemia (CML), blast crisis",PTK2B-SYK,25.0,33.33
"Chronic Myelogenous Leukemia (CML), blast crisis",IKBKB-NFKB2,25.0,25.0
Soft tissue,EED-TLE1,100.0,100.0
Soft tissue,IL1B-EGR1,66.67,100.0
Soft tissue,IL1B-FYN,66.67,100.0
Soft tissue,EED-HDAC2,33.33,100.0
Soft tissue,UBQLN2-RNH1,33.33,33.33
Osteosarcoma,EED-TLE1,50.0,28.57
Osteosarcoma,IL1B-MYC,28.57,14.29
Osteosarcoma,IL1B-FYN,21.43,14.29
Osteosarcoma,IL1B-EGR1,21.43,28.57
Osteosarcoma,HSPA8-CD40,14.29,14.29
Breast,EED-TLE1,100.0,66.67
Breast,IL1B-EGR1,100.0,100.0
Breast,EED-HDAC2,100.0,100.0
Breast,IL1B-FYN,100.0,100.0
Breast,ACAT2-SPR,66.67,66.67
Mesothelioma,EED-TLE1,16.13,16.13
Mesothelioma,BIRC5-RASA1,12.9,12.9
Bladder,ACAT2-SPR,100.0,100.0
Bladder,HSPA8-CD40,100.0,100.0
Bladder,EED-TLE1,100.0,100.0
Bladder,RB1-PAX8,100.0,100.0
Malignant Rhabdoid Tumor,HSPA8-CD40,60.0,40.0
Malignant Rhabdoid Tumor,BIRC5-CASP7,33.33,13.33
Malignant Rhabdoid Tumor,ARHGAP1-RHOA,33.33,13.33
Malignant Rhabdoid Tumor,GLI2-SOX2,26.67,13.33
"Rhabdomyosarcoma, alveolar",CDC20-BUB1B,25.0,12.5
"Rhabdomyosarcoma, alveolar",PARP1-MYBL2,25.0,25.0
"Rhabdomyosarcoma, alveolar",CSNK1E-HSPA8,12.5,12.5
"Acute Lymphoblastic Leukemia (ALL), T-cell",ABL1-PXN,43.48,43.48
"Acute Lymphoblastic Leukemia (ALL), T-cell",CSNK1E-HSPA8,34.78,43.48
"Acute Lymphoblastic Leukemia (ALL), T-cell",PTK2B-SYK,17.39,17.39
"Acute Lymphoblastic Leukemia (ALL), T-cell",CDK4-CDKN1A,17.39,13.04
"Acute Myelogenous Leukemia (AML), M4 (Myelomonocytic)",SHC1-IL4R,40.0,40.0
"Acute Myelogenous Leukemia (AML), M4 (Myelomonocytic)",RHOA-S100A4,40.0,40.0
"Acute Myelogenous Leukemia (AML), M4 (Myelomonocytic)",RB1-TFDP1,40.0,40.0
"Acute Myelogenous Leukemia (AML), M4 (Myelomonocytic)",UGDH-HSPB1,40.0,40.0
Small Cell Lung Cancer (SCLC),AURKA-SKP1,14.1,16.67
Small Cell Lung Cancer (SCLC),AURKA-PSRC1,11.54,14.1
Small Cell Lung Cancer (SCLC),POLR1C-CDC42,10.26,15.38
Lung,EED-TLE1,100.0,83.33
Lung,IL1B-FYN,83.33,66.67
Lung,IL1B-EGR1,66.67,83.33
Lung,ACAT2-SPR,50.0,33.33
Lung,EED-HDAC2,33.33,66.67
Transitional Cell Carcinoma,INSIG1-HMGCR,25.0,16.67
Transitional Cell Carcinoma,UBQLN2-EDEM1,25.0,20.83
Transitional Cell Carcinoma,MBTPS1-HDAC2,16.67,16.67
Transitional Cell Carcinoma,MEF2C-VGLL4,12.5,8.33
"Non-Small Cell Lung Cancer (NSCLC), unspecified",HSPA8-CD40,14.29,14.29
Leiomyosarcoma,MAPKAPK3-BECN1,33.33,33.33
Leiomyosarcoma,EED-TLE1,33.33,33.33
Leiomyosarcoma,IL1B-MYC,33.33,33.33
Atypical Teratoid Rhabdoid Tumor (ATRT),HSPA8-CD40,80.0,80.0
Atypical Teratoid Rhabdoid Tumor (ATRT),HSPA1A-FOS,60.0,60.0
Atypical Teratoid Rhabdoid Tumor (ATRT),HSPA1A-NFKBIB,60.0,60.0
Atypical Teratoid Rhabdoid Tumor (ATRT),HSPA8-CDKN1A,40.0,60.0
Atypical Teratoid Rhabdoid Tumor (ATRT),GLI2-SOX2,40.0,40.0
Atypical Teratoid Rhabdoid Tumor (ATRT),MYC-IPO13,40.0,40.0
Atypical Teratoid Rhabdoid Tumor (ATRT),NFKBIA-AKT1,20.0,20.0
"B-cell, Non-Hodgkins, Burkitts",UGDH-HSPB1,52.94,52.94
"B-cell, Non-Hodgkins, Burkitts",CDK4-CDKN1A,47.06,29.41
"B-cell, Non-Hodgkins, Burkitts",TRAP1-UFM1,35.29,35.29
"B-cell, Non-Hodgkins, Burkitts",PTK2B-SYK,35.29,52.94
"B-cell, Non-Hodgkins, Burkitts",SHC1-IL4R,23.53,17.65
"B-cell, Non-Hodgkins, Burkitts",CHEK2-GNAS,23.53,23.53
Squamous Cell Carcinoma,CAST-HTRA1,11.43,11.43
Squamous Cell Carcinoma,CAST-RPP38,10.0,10.0
Squamous Cell Carcinoma,INSIG1-HMGCR,8.57,11.43
"Acute Myelogenous Leukemia (AML), M2 (Myeloblastic)",UGDH-HSPB1,66.67,66.67
"Acute Myelogenous Leukemia (AML), M2 (Myeloblastic)",CHEK2-RAD9A,66.67,33.33
"Acute Myelogenous Leukemia (AML), M2 (Myeloblastic)",ILK-AKAP8,66.67,33.33
"Acute Myelogenous Leukemia (AML), M2 (Myeloblastic)",PAX8-ID2,33.33,33.33
"Acute Myelogenous Leukemia (AML), M2 (Myeloblastic)",PRKCQ-FYN,33.33,33.33
"Acute Myelogenous Leukemia (AML), M2 (Myeloblastic)",LIG1-PCNA,33.33,33.33
"Acute Myelogenous Leukemia (AML), M2 (Myeloblastic)",PAX8-RB1,33.33,33.33
"Adenocarcinoma, mucinous",SMARCA4-FAH,33.33,33.33
"Adenocarcinoma, mucinous",UGDH-HSPB1,16.67,16.67
"Adenocarcinoma, mucinous",CHEK2-RAD9A,16.67,16.67
"Adenocarcinoma, mucinous",CHEK2-GNAS,16.67,16.67
"Adenocarcinoma, mucinous",JUN-NOLC1,16.67,16.67
"Adenocarcinoma, mucinous",CHEK2-CHEK1,16.67,16.67
"Rhabdomyosarcoma, embryonal",PAICS-CDK2,25.0,25.0
"Rhabdomyosarcoma, embryonal",PAICS-DNM1L,25.0,25.0
"Rhabdomyosarcoma, embryonal",EGFR-STAT5B,25.0,25.0
Endometrial Adenocarcinoma,MRPL19-MRPS16,8.7,8.7
"Carcinoma, anaplastic",RPA2-CCNH,33.33,33.33
"Carcinoma, anaplastic",SRC-HIF1A,33.33,33.33
"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",MAPKAPK3-BECN1,12.5,6.25
Small Cell Carcinoma,AURKA-SKP1,25.0,25.0
"Cholangiocarcinoma, extrahepatic",CDK2-PSMD2,14.29,14.29
"Cholangiocarcinoma, extrahepatic",CDK2-EZH2,14.29,14.29
"Carcinoma, papillary",HSPA8-CD40,33.33,33.33
"Carcinoma, papillary",PIN1-CCNE2,33.33,33.33
Colorectal,EED-TLE1,100.0,66.67
Colorectal,ACAT2-SPR,100.0,100.0
Colorectal,IL1B-EGR1,66.67,100.0
Colorectal,EED-HDAC2,66.67,100.0
Colorectal,IL1B-FYN,66.67,66.67
ATL,HSPA8-CD40,100.0,100.0
ATL,CSNK1E-HSPA8,100.0,100.0
ATL,ABL1-PXN,100.0,100.0
ATL,PARP1-DDB2,100.0,100.0
"Squamous Cell Carcinoma, pharynx",CALM3-UBE3B,100.0,100.0
"Cholangiocarcinoma, intrahepatic",EED-TLE1,18.18,18.18
"Squamous Cell Carcinoma, oral",CAST-RPP38,16.67,27.78
"Squamous Cell Carcinoma, oral",CAST-HTRA1,16.67,33.33
"Renal Carcinoma, clear cell",UBQLN2-EDEM1,31.25,31.25
"Renal Carcinoma, clear cell",INSIG1-HMGCR,18.75,25.0
"Renal Carcinoma, clear cell",HDAC2-NR3C1,6.25,6.25
Glioma,EED-TLE1,20.0,40.0
"Carcinoma, brenner",INSIG1-HMGCR,100.0,100.0
"Carcinoma, brenner",CHEK1-MSH6,100.0,100.0
"Carcinoma, brenner",UBQLN2-RNH1,100.0,100.0
"Carcinoma, brenner",MBTPS1-HDAC2,100.0,100.0
Upper aerodigestive,EED-TLE1,100.0,100.0
Upper aerodigestive,HSPA8-CD40,100.0,100.0
Upper aerodigestive,IL1B-FYN,100.0,100.0
Upper aerodigestive,ACAT2-SPR,100.0,100.0
Upper aerodigestive,GLRX-CASP3,100.0,100.0
Upper aerodigestive,IL1B-EGR1,100.0,100.0
Upper aerodigestive,EED-HDAC2,100.0,100.0
Mullerian Carcinoma,EED-TLE1,100.0,100.0
Mullerian Carcinoma,NR3C1-KDM5A,100.0,100.0
Mullerian Carcinoma,PSMD2-STUB1,100.0,100.0
Mullerian Carcinoma,IL1B-FYN,100.0,100.0
Mullerian Carcinoma,MRPL19-MRPS16,100.0,100.0
"Adenocarcinoma, clear cell",CCNE2-PCNA,33.33,22.22
"Adenocarcinoma, clear cell",RFX5-HDAC2,22.22,22.22
"Adenocarcinoma, clear cell",HDAC2-NR3C1,22.22,44.44
"Adenocarcinoma, clear cell",UBQLN2-EDEM1,11.11,11.11
"Chronic Lymphoblastic Leukemia (CLL), B-cell",UGDH-HSPB1,100.0,100.0
"Chronic Lymphoblastic Leukemia (CLL), B-cell",CHEK2-RAD9A,100.0,66.67
"Chronic Lymphoblastic Leukemia (CLL), B-cell",CHEK2-CHEK1,100.0,66.67
"Chronic Lymphoblastic Leukemia (CLL), B-cell",SHC1-IL4R,100.0,66.67
"Chronic Lymphoblastic Leukemia (CLL), B-cell",CHEK2-GNAS,66.67,66.67
"Chronic Lymphoblastic Leukemia (CLL), B-cell",HSPA8-RPA1,33.33,33.33
"B-cell, Non-Hodgkins",UGDH-HSPB1,33.33,25.0
"B-cell, Non-Hodgkins",POLR1C-DNAJB6,25.0,16.67
"B-cell, Non-Hodgkins",CDK4-CDKN1A,16.67,41.67
"B-cell, Non-Hodgkins",IKBKB-NFKB2,16.67,16.67
"B-cell, Non-Hodgkins",JUN-NOLC1,16.67,33.33
Renal Leiomyoblastoma,HSPA8-CD40,100.0,100.0
Renal Leiomyoblastoma,INSIG1-HMGCR,100.0,100.0
Renal Leiomyoblastoma,MBTPS1-HDAC2,100.0,100.0
Renal Leiomyoblastoma,FOS-ABL1,100.0,100.0
"Non-Small Cell Lung Cancer (NSCLC), Adenosquamous Carcinoma",ABL1-NCOA3,20.0,20.0
"Non-Small Cell Lung Cancer (NSCLC), Adenosquamous Carcinoma",CNOT4-MYC,20.0,20.0
Clear Cell Carcinoma,HDAC2-NR3C1,100.0,100.0
Clear Cell Carcinoma,TP53BP1-AKAP8L,100.0,100.0
Malignant Mixed Mullerian Tumor (MMMT),IL1B-FYN,100.0,100.0
Malignant Mixed Mullerian Tumor (MMMT),TP53-CHEK1,100.0,100.0
Chondrosarcoma,EED-TLE1,12.5,25.0
Chondrosarcoma,IL1B-EGR1,12.5,12.5
Chondrosarcoma,IL1B-FYN,12.5,12.5
Chondrosarcoma,ACAT2-SPR,12.5,12.5
Chondrosarcoma,CDK4-HIF1A,12.5,12.5
Chondrosarcoma,EED-HDAC2,12.5,12.5
Uterine Sarcoma,UBQLN2-EDEM1,100.0,100.0
Uterine Sarcoma,HSPA8-CD40,100.0,100.0
Uterine Sarcoma,TFAP2A-DNMT3A,100.0,100.0
Uterine Sarcoma,MYC-FOXO3,100.0,100.0
Uterine Sarcoma,EGFR-XPO7,100.0,100.0
"Hepatocellular Carcinoma, HBs-antigen carrier",ARFIP2-CDKN2A,100.0,100.0
"Squamous Cell Carcinoma, laryngeal",ERBB3-MUC1,28.57,14.29
"Squamous Cell Carcinoma, laryngeal",MAPKAPK3-BECN1,14.29,14.29
"Squamous Cell Carcinoma, laryngeal",ERBB3-PIK3R3,14.29,14.29
"Squamous Cell Carcinoma, laryngeal",ERBB3-HSPA1A,14.29,14.29
"Squamous Cell Carcinoma, laryngeal",ERBB3-CRK,14.29,14.29
Duodenal Adenocarcinoma,NFKBIA-AKT1,50.0,50.0
"Melanoma, amelanotic",CHEK2-GNAS,60.0,60.0
"Melanoma, amelanotic",CHEK2-CHEK1,60.0,40.0
"Melanoma, amelanotic",UGDH-HSPB1,40.0,40.0
"Melanoma, amelanotic",CHEK2-RAD9A,40.0,40.0
"Acute Myelogenous Leukemia (AML), M7 (Megakaryoblastic)",IKBKB-NFKB2,100.0,100.0
"Acute Myelogenous Leukemia (AML), M7 (Megakaryoblastic)",CDK4-BCL2,100.0,100.0
"Acute Myelogenous Leukemia (AML), M7 (Megakaryoblastic)",POLR1C-DNAJB6,100.0,50.0
"Acute Myelogenous Leukemia (AML), M7 (Megakaryoblastic)",CDK4-CCND3,100.0,50.0
"Acute Myelogenous Leukemia (AML), M7 (Megakaryoblastic)",PTK2B-SYK,100.0,100.0
"Acute Myelogenous Leukemia (AML), M7 (Megakaryoblastic)",HSPA8-CD40,100.0,50.0
"Acute Myelogenous Leukemia (AML), M7 (Megakaryoblastic)",CDK4-CDKN1A,50.0,100.0
"Acute Myelogenous Leukemia (AML), M7 (Megakaryoblastic)",CDKN1A-MYC,50.0,50.0
"Acute Myelogenous Leukemia (AML), M7 (Megakaryoblastic)",CDK4-TP53,50.0,50.0
"Squamous Cell Carcinoma, basaloid",CAST-HTRA1,100.0,100.0
"Squamous Cell Carcinoma, basaloid",CAST-RPP38,100.0,100.0
T-cell,UGDH-HSPB1,81.82,63.64
T-cell,CHEK2-RAD9A,72.73,72.73
T-cell,HSPA8-CD40,72.73,45.45
T-cell,CHEK2-CHEK1,72.73,72.73
T-cell,CHEK2-GNAS,63.64,63.64
T-cell,CHEK2-TP53BP1,36.36,45.45
"Squamous Cell Carcinoma, tongue",RAE1-SMC3,40.0,60.0
"Squamous Cell Carcinoma, tongue",EED-TLE1,20.0,20.0
"Squamous Cell Carcinoma, tongue",IL1B-EGR1,20.0,20.0
"Cystadenocarcinoma, high grade serous",UBQLN2-EDEM1,100.0,100.0
"Cystadenocarcinoma, high grade serous",MBTPS1-HDAC2,100.0,100.0
"Cystadenocarcinoma, high grade serous",INSIG1-HMGCR,100.0,100.0
"Cystadenocarcinoma, high grade serous",UBQLN2-RNH1,100.0,100.0
Hepatoblastoma,RAE1-MTHFD2,50.0,50.0
Hepatoblastoma,CCNA2-MYBL2,50.0,50.0
Hepatoblastoma,CCNA2-IFNAR1,50.0,50.0
"Adenocarcinoma, mixed",PARP1-CEBPA,50.0,50.0
"Adenocarcinoma, mixed",SCCPDH-SQSTM1,50.0,50.0
"Adenocarcinoma, mixed",KAT6A-HSPA4,50.0,50.0
"Adenocarcinoma, mixed",PARP1-CASP3,50.0,50.0
"Cystadenocarcinoma, mucinous",HSPA8-HSPA4,50.0,50.0
"Cystadenocarcinoma, mucinous",IGFBP3-PPARG,50.0,50.0
"Cystadenocarcinoma, mucinous",RAE1-NUP88,50.0,50.0
"Cystadenocarcinoma, mucinous",PTPN1-STAT3,50.0,50.0
"Adenocarcinoma, signet ring cell",CHEK2-RB1,33.33,33.33
"Renal Carcinoma, transitional cell",EED-TLE1,100.0,100.0
Pleomorphic Sarcoma,GLRX-CASP3,100.0,100.0
Pleomorphic Sarcoma,PIK3C2B-CRK,100.0,100.0
Pleomorphic Sarcoma,GLRX-PTPN1,100.0,100.0
Pleomorphic Sarcoma,PIK3C2B-SHC1,100.0,100.0
Pleomorphic Sarcoma,GLRX-NIT1,100.0,100.0
Endometrial Stromal Sarcoma,CDK7-TP53,100.0,100.0
Endometrial Stromal Sarcoma,PSMD2-TP53BP1,100.0,100.0
"Non-Small Cell Lung Cancer (NSCLC), Mucoepidermoid Carcinoma",CEBPA-CDKN1A,100.0,100.0
"Non-Small Cell Lung Cancer (NSCLC), Mucoepidermoid Carcinoma",SMARCA4-FAH,100.0,100.0
"Non-Small Cell Lung Cancer (NSCLC), Mucoepidermoid Carcinoma",ETV1-RPS6KA1,100.0,100.0
Synovial,HSPA8-CD40,25.0,25.0
Synovial,ACAT2-SPR,25.0,25.0
Synovial,EED-TLE1,12.5,12.5
Small Cell Carcinoma of the Ovary Hypercalcemic Type (SCCOHT),NFKBIA-IKBKE,50.0,50.0
Small Cell Carcinoma of the Ovary Hypercalcemic Type (SCCOHT),HSD17B10-ATP1B1,50.0,50.0
Small Cell Carcinoma of the Ovary Hypercalcemic Type (SCCOHT),GLI2-SOX2,50.0,50.0
Small Cell Carcinoma of the Ovary Hypercalcemic Type (SCCOHT),IQGAP1-CD44,50.0,50.0
Small Cell Carcinoma of the Ovary Hypercalcemic Type (SCCOHT),NFKBIA-AKT1,50.0,50.0
Small Cell Carcinoma of the Ovary Hypercalcemic Type (SCCOHT),NFKBIA-HSPB1,50.0,50.0
Small Cell Carcinoma of the Ovary Hypercalcemic Type (SCCOHT),PIP4K2B-SKP1,50.0,50.0
Retinoblastoma,FOS-EPHB2,50.0,50.0
Retinoblastoma,CASP7-CAPN1,50.0,50.0
Cervical Adenocarcinoma,UGDH-HSPB1,50.0,50.0
Cervical Adenocarcinoma,CHEK2-GNAS,50.0,50.0
"Squamous Cell Carcinoma, buccal mucosa",GADD45B-PPARG,100.0,100.0
"Squamous Cell Carcinoma, buccal mucosa",RAE1-SMC3,100.0,100.0
Cystadenocarcinoma,ACAT2-SPR,25.0,50.0
Cystadenocarcinoma,C2CD2L-PRKCQ,25.0,25.0
"B-cell, unspecified",UGDH-HSPB1,100.0,100.0
"B-cell, unspecified",CHEK2-RAD9A,100.0,100.0
"B-cell, unspecified",CHEK2-GNAS,100.0,100.0
"B-cell, unspecified",SHC1-IL4R,50.0,50.0
"B-cell, unspecified",CHEK2-TP53BP1,50.0,100.0
Choriocarcinoma,TBP-SPP1,66.67,33.33
Choriocarcinoma,FOS-EPHB2,66.67,66.67
Merkel Cell Carcinoma,HSPA8-MYC,14.29,14.29
Merkel Cell Carcinoma,PSMD2-PFKL,14.29,14.29
Merkel Cell Carcinoma,BID-UBQLN2,14.29,28.57
Merkel Cell Carcinoma,LYN-SNCA,14.29,14.29
Uveal Melanoma,RB1-TFDP1,50.0,25.0
Uveal Melanoma,KDM5B-HDAC2,25.0,25.0
Testicular,PAF1-DNMT3A,100.0,100.0
Testicular,GABPB1-CASP2,100.0,100.0
Testicular,CDK6-AKT1,100.0,100.0
Testicular,HSPA1A-AURKB,100.0,100.0
